Species,Location,Age,Figure reference number
"Homotherium crenatidens (Fabrini, 1890)","Kvabebi, Georgia",3.07 Ma,"Fig. 1a, g"
"Homotherium crenatidens (Fabrini, 1890)","Perrier-Les Etouaires, France",2.78 Ma,
"Homotherium crenatidens (Fabrini, 1890)","Roca-Neyra, France",2.6 Ma,Fig. 1b
"Homotherium crenatidens (Fabrini, 1890)","Saint-Vallier, France",2.5 Ma,
"Homotherium crenatidens (Fabrini, 1890)","Senèze, France",2.25 Ma,"Fig. 1c, h"
"Homotherium crenatidens (Fabrini, 1890)","Upper Valdarno, Italy",1.8 Ma,
"Homotherium crenatidens (Fabrini, 1890)","Pirro Nord DE11.1, Italy",1.5 Ma,
"Homotherium crenatidens (Fabrini, 1890)","Dafnero 3, Greece",2.3 Ma,Fig. 1d
"Homotherium crenatidens (Fabrini, 1890)","Ceyssaguet, France",1.0 Ma,Fig. 1i
"Homotherium crenatidens (Fabrini, 1890)","Incarcal Complex, Iberia",0.86 Ma,"Fig. 1e-f, j-o"
"Panthera gombazoegensis (Kretzoi, 1938)","Olivola, Italy",2.0 Ma,Fig. 2d
"Panthera gombazoegensis (Kretzoi, 1938)","Gerakarou, Greece ",2.0 Ma,
"Panthera gombazoegensis (Kretzoi, 1938)","Upper Valdarno, Italy",1.8 Ma,Fig. 2e-g
"Panthera gombazoegensis (Kretzoi, 1938)","Untermassfeld, Germany",1.1 Ma,
"Panthera gombazoegensis (Kretzoi, 1938)","Vallparadís (Section EVT7), Spain",0.86 Ma,Fig. 2a
"Panthera gombazoegensis (Kretzoi, 1938)","Trinchera Dolina, Spain",0.85 Ma,Fig. 2j-k
"Panthera gombazoegensis (Kretzoi, 1938)","L’Escale, France",0.6 Ma,
"Panthera gombazoegensis (Kretzoi, 1938)","Château Breccia, France",0.55 Ma,"Fig. 2c, l"
"Panthera gombazoegensis (Kretzoi, 1938)","Belle Roche, Belgium",(0.35 Ma,"Fig. 2b, h-i"
"Panthera spelaea (Goldfuss, 1810)","Vallparadís Section, Iberia",1.0 Ma,
"Panthera spelaea (Goldfuss, 1810)","Château Breccia, France",0.6 Ma,
"Panthera spelaea (Goldfuss, 1810)","Zoolithen Cave, Germany","0,57 Ma",
"Panthera spelaea (Goldfuss, 1810)","Torca del León, Iberia","0,57 Ma",
"Panthera spelaea (Goldfuss, 1810)","Srbsko Chlum-Komín Cave, Czech Republic","0,16 Ma",
"Dinofelis diastemata (Astre, 1929)","Perpignan and Tuilerie Chefdebien, France",3.7 Ma,France; Fig. 3a-j
"Dinofelis diastemata (Astre, 1929)","Odessa Catacombs, Ukraine",3.5 Ma,
"Dinofelis diastemata (Astre, 1929)","Balaruc II, France", 3 Ma,
"Dinofelis diastemata (Astre, 1929)","Zemo Melaani, Georgia", 4 Ma,
